term_id,canonical_term,original_synonyms,llm_suggested_synonyms,domain,linked_column_id,approve
term_raw_telecom_dim_customer.mobile_number,mobile_number,mobile_number,"MSISDN,mobile_number,모바일폰,핸드폰번호,휴대폰번호",가입,raw_telecom_dim_customer.mobile_number,y
term_raw_telecom_dim_customer.circle_id,circle_id,circle_id,"circle_id,권역코드,서비스권역,지역ID,지역코드",기타,raw_telecom_dim_customer.circle_id,y
term_raw_telecom_dim_customer.first_seen_month,first_seen_month,first_seen_month,"first_seen_month,첫데이터월,첫등장월,최초관측월",가입,raw_telecom_dim_customer.first_seen_month,y
term_raw_telecom_dim_customer.aon_at_first_seen,aon_at_first_seen,aon_at_first_seen,"aon_at_first_seen,가입기간(최초관측시),첫관측가입일수,최초관측가입기간",가입,raw_telecom_dim_customer.aon_at_first_seen,y
term_raw_telecom_dim_customer.churn_month,churn_month,churn_month,"churn_month,이탈월,탈퇴월,해지월",가입,raw_telecom_dim_customer.churn_month,y
term_raw_telecom_fact_call_incoming.mobile_number,mobile_number,mobile_number,"MSISDN,mobile_number,모바일폰,핸드폰번호,휴대폰번호",가입,raw_telecom_fact_call_incoming.mobile_number,y
term_raw_telecom_fact_call_incoming.month,month,month,"month,기준월,데이터월,연월",기타,raw_telecom_fact_call_incoming.month,y
term_raw_telecom_fact_call_incoming.aon,aon,aon,"aon,가입기간,가입일수,누적가입일수",가입,raw_telecom_fact_call_incoming.aon,y
term_raw_telecom_fact_call_incoming.roam_ic_mou,roam_ic_mou,roam_ic_mou,"roam_ic_mou,로밍수신MOU,로밍수신통화분,로밍수신통화시간",통화,raw_telecom_fact_call_incoming.roam_ic_mou,y
term_raw_telecom_fact_call_incoming.loc_ic_t2t_mou,loc_ic_t2t_mou,loc_ic_t2t_mou,"loc_ic_t2t_mou,로컬수신T2T통화시간,로컬수신동일사통화시간,로컬수신동일통신사MOU",통화,raw_telecom_fact_call_incoming.loc_ic_t2t_mou,y
term_raw_telecom_fact_call_incoming.loc_ic_t2m_mou,loc_ic_t2m_mou,loc_ic_t2m_mou,"loc_ic_t2m_mou,로컬수신T2M통화시간,로컬수신타사MOU,로컬수신타사모바일통화시간",통화,raw_telecom_fact_call_incoming.loc_ic_t2m_mou,y
term_raw_telecom_fact_call_incoming.loc_ic_t2f_mou,loc_ic_t2f_mou,loc_ic_t2f_mou,"loc_ic_t2f_mou,로컬수신T2F통화시간,로컬수신유선MOU,로컬수신유선통화시간",통화,raw_telecom_fact_call_incoming.loc_ic_t2f_mou,y
term_raw_telecom_fact_call_incoming.loc_ic_mou,loc_ic_mou,loc_ic_mou,"loc_ic_mou,로컬수신MOU,로컬수신통화분,로컬수신통화시간",통화,raw_telecom_fact_call_incoming.loc_ic_mou,y
term_raw_telecom_fact_call_incoming.std_ic_t2t_mou,std_ic_t2t_mou,std_ic_t2t_mou,"std_ic_t2t_mou,장거리수신T2T통화시간,장거리수신동일사통화시간,장거리수신동일통신사MOU",통화,raw_telecom_fact_call_incoming.std_ic_t2t_mou,y
term_raw_telecom_fact_call_incoming.std_ic_t2m_mou,std_ic_t2m_mou,std_ic_t2m_mou,"std_ic_t2m_mou,장거리수신T2M통화시간,장거리수신타사MOU,장거리수신타사모바일통화시간",통화,raw_telecom_fact_call_incoming.std_ic_t2m_mou,y
term_raw_telecom_fact_call_incoming.std_ic_t2f_mou,std_ic_t2f_mou,std_ic_t2f_mou,"Long Distance Incoming Fixed MOU,std_ic_t2f_mou,수신 유선 통화시간,장거리 수신 유선 MOU",통화,raw_telecom_fact_call_incoming.std_ic_t2f_mou,y
term_raw_telecom_fact_call_incoming.std_ic_t2o_mou,std_ic_t2o_mou,std_ic_t2o_mou,"Long Distance Incoming Other Operator MOU,std_ic_t2o_mou,수신 타사 통화시간,장거리 수신 타사 MOU",통화,raw_telecom_fact_call_incoming.std_ic_t2o_mou,y
term_raw_telecom_fact_call_incoming.std_ic_mou,std_ic_mou,std_ic_mou,"Long Distance Incoming MOU,std_ic_mou,장거리 수신 통화,장거리 수신 통화시간",통화,raw_telecom_fact_call_incoming.std_ic_mou,y
term_raw_telecom_fact_call_incoming.total_ic_mou,total_ic_mou,total_ic_mou,"Total Incoming MOU,total_ic_mou,수신 통화 총합,총 수신 통화시간",통화,raw_telecom_fact_call_incoming.total_ic_mou,y
term_raw_telecom_fact_call_incoming.spl_ic_mou,spl_ic_mou,spl_ic_mou,"Special Incoming MOU,spl_ic_mou,특수 수신 MOU,특수 수신 통화시간",통화,raw_telecom_fact_call_incoming.spl_ic_mou,y
term_raw_telecom_fact_call_incoming.isd_ic_mou,isd_ic_mou,isd_ic_mou,"International Incoming MOU,isd_ic_mou,국제 수신 MOU,국제 수신 통화시간",통화,raw_telecom_fact_call_incoming.isd_ic_mou,y
term_raw_telecom_fact_call_incoming.ic_others,ic_others,ic_others,"Incoming Others MOU,ic_others,기타 수신 통화시간,수신 기타 MOU",통화,raw_telecom_fact_call_incoming.ic_others,y
term_raw_telecom_fact_call_outgoing.mobile_number,mobile_number,mobile_number,"Mobile No.,mobile_number,이동전화 번호,핸드폰 번호,휴대폰 번호",가입,raw_telecom_fact_call_outgoing.mobile_number,y
term_raw_telecom_fact_call_outgoing.month,month,month,"YYYYMM,month,기준월,데이터 기준월,연월",기타,raw_telecom_fact_call_outgoing.month,y
term_raw_telecom_fact_call_outgoing.aon,aon,aon,"Age of Number,aon,가입 경과일,가입 기간(일),가입일수",가입,raw_telecom_fact_call_outgoing.aon,y
